id,nombre,categoria,precio,stock
101,Teclado Mecánico RGB,Periféricos,89.99,45
102,Monitor 27"" 4K,Monitores,349.99,12
103,Ratón Inalámbrico,Periféricos,34.50,80
104,SSD 1TB NVMe,Almacenamiento,95.00,60
105,Auriculares Gaming,Audio,119.99,30
106,Webcam Full HD,Periféricos,55.00,25
107,HDD Externo 2TB,Almacenamiento,79.99,18
108,Micrófono USB,Audio,69.99,0
109,Hub USB-C 7 puertos,Periféricos,42.00,55
110,RAM 32GB DDR5,Componentes,149.99,22
111,Tarjeta Gráfica RTX,Componentes,499.99,5
112,Altavoces 2.1,Audio,89.00,0
113,Alfombrilla XL,Periféricos,19.99,100
114,SSD 500GB SATA,Almacenamiento,49.99,35
115,Procesador i7,Componentes,389.99,8
